id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
14301,2,〇,齋藤 拓実,PG,29:08,22,8,13,61.5%,2,4,50.0%,4,4,100.0%,3,1,4,9,3,2,0,0,2,5,0,29
8590,4,-,狩俣 昌也,PG,12:42,0,0,1,0.0%,0,1,0.0%,0,0,-,0,2,2,0,1,0,0,0,3,0,0,0
19956,6,-,シェーファー アヴィ幸樹,PF/C,11:21,5,2,3,66.7%,0,0,-,1,2,50.0%,1,3,4,1,0,1,0,0,1,2,0,9
15811,11,〇,佐藤 卓磨,SG/SF,27:30,11,4,6,66.7%,3,4,75.0%,0,0,-,3,1,4,0,2,1,0,1,0,1,0,12
18845,13,-,中村 功平,PG/SG,04:27,2,1,4,25.0%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,0,-1
8488,15,-,谷口 光貴,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10886,19,〇,ジェフ・エアーズ,PF,35:46,12,5,13,38.5%,0,3,0.0%,2,2,100.0%,2,18,20,6,3,0,0,0,2,3,3,27
10818,24,-,高橋 耕陽,SG/SF,17:40,0,0,6,0.0%,0,3,0.0%,0,0,-,1,2,3,3,0,0,0,0,2,2,0,0
8582,25,-,荒尾 岳,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8463,32,〇,狩野 祐介,SG,28:33,14,5,7,71.4%,4,6,66.7%,0,0,-,1,1,2,1,0,0,0,0,2,1,0,15
10817,33,〇,クレイグ・ブラッキンズ,PF/C,32:53,10,5,12,41.7%,0,3,0.0%,0,0,-,2,5,7,3,5,1,0,1,3,2,0,9
9039,35,-,伊藤 大司,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,76,30,65,46.2%,9,27,33.3%,7,8,87.5%,15,33,48,23,16,5,0,2,17,16,3,100
