id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8514,0,-,石崎 巧,PG/SG,17:08,5,2,4,50.0%,1,1,100.0%,0,2,0.0%,1,1,2,1,2,3,1,0,2,2,0,6
9352,2,-,福田 真生,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9489,3,〇,並里 成,PG,24:55,4,2,8,25.0%,0,1,0.0%,0,0,-,0,3,3,9,1,0,0,0,1,1,0,9
26913,4,〇,デモン・ブルックス,PF,30:10,14,6,13,46.2%,2,4,50.0%,0,0,-,2,7,9,3,1,1,0,1,4,1,0,19
20025,7,-,ナナー ダニエル弾,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8577,9,-,長谷川 智伸,SG,11:37,3,1,3,33.3%,1,3,33.3%,0,0,-,0,0,0,1,1,1,0,0,2,0,0,2
8655,14,-,岸本 隆一,PG/SG,18:03,10,4,11,36.4%,2,7,28.6%,0,0,-,2,2,4,2,2,2,0,1,1,2,0,9
8840,21,-,寒竹 隼人,PF,00:42,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
8662,32,-,満原 優樹,PF/C,14:25,3,1,3,33.3%,1,3,33.3%,0,0,-,0,2,2,0,2,1,0,0,2,0,0,2
8756,34,〇,小野寺 祥太,PG/SG,25:20,9,3,6,50.0%,0,1,0.0%,3,5,60.0%,1,1,2,1,0,0,0,0,1,3,0,7
26914,45,〇,ジャック・クーリー,C,35:25,20,6,13,46.2%,0,1,0.0%,8,8,100.0%,7,12,19,2,3,0,0,1,1,8,0,31
30398,88,〇,牧 隼利,SG,22:15,5,2,5,40.0%,1,4,25.0%,0,0,-,1,1,2,0,0,0,1,0,1,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,1
,,,合計,,200:00,73,27,66,40.9%,8,25,32.0%,11,15,73.3%,14,30,44,19,12,8,2,3,17,17,0,91
