id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9213,2,-,坂本 裕基,SG,09:05,2,0,0,-,0,0,-,2,2,100.0%,1,1,2,1,0,0,0,0,0,0,0,5
9214,3,〇,横塚 螢,SG,15:39,4,2,4,50.0%,0,0,-,0,0,-,0,1,1,0,0,0,1,0,1,0,0,4
18411,4,-,井上 貴志,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9215,7,-,塩塚 直人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,〇,鮫島 宗一郎,SF,14:23,6,2,7,28.6%,1,5,20.0%,1,2,50.0%,1,0,1,1,0,1,0,0,1,0,0,3
9220,17,-,田村 晋,PF,01:36,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
9316,23,〇,ジョシュ・ペッパーズ,PF,33:11,32,13,19,68.4%,2,4,50.0%,4,5,80.0%,1,7,8,6,2,2,0,1,3,0,0,39
9222,30,-,村田 翔,SF,12:31,0,0,1,0.0%,0,1,0.0%,0,0,-,1,1,2,1,1,0,0,0,3,0,0,1
9223,32,〇,長谷川 武,PF,18:09,4,0,2,0.0%,0,0,-,4,4,100.0%,0,3,3,4,5,1,0,0,4,0,0,5
9418,33,-,ルーク・エヴァンス,PF,17:57,7,1,4,25.0%,0,1,0.0%,5,6,83.3%,1,4,5,1,0,0,1,0,2,0,0,10
9435,34,〇,カイル・リチャードソン,PF,28:52,22,10,13,76.9%,1,1,100.0%,1,1,100.0%,4,10,14,3,2,1,1,0,4,0,0,36
12658,49,-,飯田 鴻朗,PG,24:21,15,7,11,63.6%,1,3,33.3%,0,0,-,2,4,6,0,0,2,0,0,0,0,0,19
10259,55,-,小林 礼秧,PF,05:40,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,0,-1
8648,91,-,落合 知也,PF,18:36,5,2,4,50.0%,0,0,-,1,3,33.3%,0,0,0,2,2,0,0,0,3,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,97,37,67,55.2%,5,16,31.3%,18,23,78.3%,12,33,45,19,13,7,3,1,23,0,0,123
