id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8462,0,-,小林 遥太,PG,09:00,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,3,2,0,0,1,1,1,0,-1
8784,3,〇,ファイ サンバ,C,14:46,5,2,3,66.7%,0,0,-,1,2,50.0%,1,1,2,0,0,1,0,0,3,1,0,6
8577,6,〇,長谷川 智伸,SG/SF,27:20,16,5,11,45.5%,3,7,42.9%,3,4,75.0%,1,2,3,2,0,0,0,1,2,3,0,14
9489,7,〇,並里 成,PG,27:04,12,4,8,50.0%,0,1,0.0%,4,5,80.0%,0,3,3,5,0,1,2,0,2,4,0,18
8464,8,-,田中 大地,SF,15:39,2,1,1,100.0%,0,0,-,0,0,-,1,0,1,1,1,0,1,0,0,0,0,4
8761,13,〇,菅原 洋介,SG/SF,10:56,2,1,3,33.3%,0,0,-,0,0,-,0,4,4,0,1,0,0,1,1,0,0,3
8465,22,-,樋口 大倫,PF,05:17,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,0,0,0,1,1,0,0,0,2
8461,23,-,横江 豊,PG,03:56,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,0
10818,24,-,高橋 耕陽,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8709,32,〇,ジュリアン・マブンガ,PF,30:57,25,7,15,46.7%,4,9,44.4%,7,8,87.5%,0,3,3,2,1,1,1,1,2,8,0,22
10817,33,-,クレイグ・ブラッキンズ,PF/C,29:00,22,10,18,55.6%,2,5,40.0%,0,0,-,4,10,14,2,1,1,0,1,3,2,3,30
8463,34,-,狩野 祐介,SG,26:05,4,1,4,25.0%,1,4,25.0%,1,2,50.0%,0,1,1,0,0,0,0,0,1,1,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,3,7,0,0,0,0,0,0,0,0,7
,,,合計,,200:00,88,31,67,46.3%,10,27,37.0%,16,21,76.2%,12,29,41,15,6,4,5,6,15,20,3,106
